ref_magasin;departement;departement_commune;libelle_de_commune;population
1;95;95355;Magny-en-Vexin;5752
2;92;92012;Boulogne-Billancourt;114205
3;75;75105;Paris 5e Arrondissement;60938
4;94;94028;Créteil;89985
5;94;94075;Villecresnes;9598
6;95;95476;Osny;16236
7;75;75120;Paris 20e Arrondissement;196880
8;93;93001;Aubervilliers;76087
9;93;93070;Saint-Ouen;47189
10;77;77067;Cesson;8572
11;78;78361;Mantes-la-Jolie;42969
12;95;95280;Goussainville;30996
13;91;91044;Ballainvilliers;3795
14;75;75117;Paris 17e Arrondissement;169325
15;75;75116;Paris 16e Arrondissement;171124
16;78;78551;Saint-Germain-en-Laye;40481
17;91;91226;Étréchy;6295
18;91;91552;Saint-Germain-lès-Arpajon;9338
19;77;77131;Coulommiers;14544
20;77;77379;Provins;12301
21;91;91345;Longjumeau;21361
22;95;95539;Saint-Brice-sous-Forêt;14320
23;75;75111;Paris 11e Arrondissement;153202
24;92;92044;Levallois-Perret;64253
25;78;78172;Conflans-Sainte-Honorine;35380
26;93;93010;Bondy;53530
27;92;92025;Colombes;85398
28;95;95424;Montigny-lès-Cormeilles;19041
29;77;77276;Mareuil-lès-Meaux;2194
30;95;95607;Taverny;26144
31;78;78005;Achères;19626
32;78;78466;Orgeval;5855
33;75;75118;Paris 18e Arrondissement;202685
34;92;92004;Asnières-sur-Seine;82327
35;95;95555;Saint-Gratien;20156
36;91;91347;Longpont-sur-Orge;6561
37;92;92036;Gennevilliers;41364
38;92;92063;Rueil-Malmaison;79426
39;77;77333;Nemours;12745
40;77;77284;Meaux;50755
41;92;92026;Courbevoie;87469
42;91;91549;Sainte-Geneviève-des-Bois;34195
43;78;78126;La Celle-Saint-Cloud;20971
44;94;94033;Fontenay-sous-Bois;53145
45;75;75112;Paris 12e Arrondissement;144262
46;75;75115;Paris 15e Arrondissement;236715
47;78;78255;Freneuse;3930
48;91;91201;Draveil;28491
49;78;78133;Chambourcy;5872
50;78;78646;Versailles;86110
51;93;93066;Saint-Denis;106785
52;94;94011;Bonneuil-sur-Marne;16513
53;92;92062;Puteaux;44753
54;75;75102;Paris 2e Arrondissement;23009
55;93;93064;Rosny-sous-Bois;41050
56;78;78158;Le Chesnay;28975
57;95;95306;Herblay;26016
58;78;78168;Coignières;4527
59;75;75101;Paris 1er Arrondissement;17308
60;78;78118;Buchelay;2346
61;77;77373;Pontault-Combault;35561
62;75;75119;Paris 19e Arrondissement;186652
63;94;94041;Ivry-sur-Seine;57732
64;77;77350;Ozoir-la-Ferrière;20268
65;78;78545;Saint-Cyr-l'École;17401
66;91;91692;Les Ulis;24792
67;95;95218;Éragny;16886
68;91;91235;Fleury-Mérogis;9121
69;95;95277;Gonesse;26356
70;95;95199;Domont;14827
71;93;93048;Montreuil;102770
72;77;77288;Melun;39589
73;91;91687;Viry-Châtillon;32045
74;77;77108;Chelles;52779
75;75;75114;Paris 14e Arrondissement;138299
76;78;78124;Carrières-sur-Seine;15473
77;75;75110;Paris 10e Arrondissement;95394
78;91;91573;Saint-Pierre-du-Perray;8350
79;93;93046;Livry-Gargan;41808
80;77;77258;Lognes;14560
81;92;92050;Nanterre;89185
82;91;91421;Montgeron;22880
83;77;77294;Mitry-Mory;18499
84;75;75113;Paris 13e Arrondissement;181532
